ms_path,base_name,year,start_freq,end_freq,bandwidth,size,uv_sub_path,build_concat_all,tclean_all,build_concat_epoch,tclean_epoch
/home/00103780/dlg/MeasurementSets/Split/913fcbefff12cdb3.ms.tar,13B-266.sb32006038.eb32097169.57524.93682481481_calibrated_deepfield.ms,2016,960,964,4,0.048,/home/00103780/dlg/workspace/chilies_uvsub_dir12-2025-10-01T07-43-00.950Z/2025-10-01T07_42_58_336_0-0-11/913fcbefff12cdb3.ms.tar,/home/00103780/dlg/MeasurementSets/build_concat_all/888fee86022f3206.ms,/home/00103780/dlg/MeasurementSets/tclean_all/801e2a4980ecf63f.ms,,
/home/00103780/dlg/MeasurementSets/Split/17832f9bfd6d656c.ms.tar,13B-266.sb34131298.eb34685710.58070.41796880787_calibrated_deepfield.ms,2017-2018,972,976,4,0.036,/home/00103780/dlg/workspace/chilies_uvsub_dir12-2025-10-01T07-43-00.950Z/2025-10-01T07_42_58_337_0-0-12/17832f9bfd6d656c.ms.tar,/home/00103780/dlg/MeasurementSets/build_concat_all/764f907ac44ccc75.ms,/home/00103780/dlg/MeasurementSets/tclean_all/ca3bffa2dd9e2bbf.ms,,
/home/00103780/dlg/MeasurementSets/Split/0264d04722c56d26.ms.tar,13B-266.sb27243380.eb28499779.56605.3831562037_calibrated_deepfield.ms,2013-2014,960,964,4,0.047,/home/00103780/dlg/workspace/chilies_uvsub_dir12-2025-10-01T07-43-00.950Z/2025-10-01T07_42_58_338_0-0-13/0264d04722c56d26.ms.tar,/home/00103780/dlg/MeasurementSets/build_concat_all/888fee86022f3206.ms,/home/00103780/dlg/MeasurementSets/tclean_all/801e2a4980ecf63f.ms,,/home/00103780/dlg/MeasurementSets/tclean_epoch/26e37a7a9e46a8f6.ms
/home/00103780/dlg/MeasurementSets/Split/d3b67417ca24034f.ms.tar,13B-266.sb34131298.eb34685710.58070.41796880787_calibrated_deepfield.ms,2017-2018,976,980,4,0.036,/home/00103780/dlg/workspace/chilies_uvsub_dir12-2025-10-01T07-43-00.950Z/2025-10-01T07_42_58_339_0-0-14/d3b67417ca24034f.ms.tar,/home/00103780/dlg/MeasurementSets/build_concat_all/ee325cbe579fdbfc.ms,/home/00103780/dlg/MeasurementSets/tclean_all/fdc43225b6dbc5f5.ms,,
/home/00103780/dlg/MeasurementSets/Split/88dd3350978a673f.ms.tar,13B-266.sb30134968.eb30452820.57078.09859436343_calibrated_deepfield.ms,2015,968,972,4,0.042,/home/00103780/dlg/workspace/chilies_uvsub_dir12-2025-10-01T07-43-00.950Z/2025-10-01T07_42_58_340_0-0-15/88dd3350978a673f.ms.tar,/home/00103780/dlg/MeasurementSets/build_concat_all/0fe8b5ed1c983794.ms,/home/00103780/dlg/MeasurementSets/tclean_all/cbae39a5c73ddfc7.ms,,
/home/00103780/dlg/MeasurementSets/Split/af47f454c1915e36.ms.tar,13B-266.sb36219649.eb36460449.58549.13729381944_calibrated_deepfield.ms,2019,964,968,4,0.045,/home/00103780/dlg/workspace/chilies_uvsub_dir12-2025-10-01T07-43-00.950Z/2025-10-01T07_42_58_341_0-0-16/af47f454c1915e36.ms.tar,/home/00103780/dlg/MeasurementSets/build_concat_all/88a65251c002bffe.ms,/home/00103780/dlg/MeasurementSets/tclean_all/3a0066191619bd13.ms,,
/home/00103780/dlg/MeasurementSets/Split/87ce51830d9a0193.ms.tar,13B-266.sb32006038.eb32097169.57524.93682481481_calibrated_deepfield.ms,2016,964,968,4,0.048,/home/00103780/dlg/workspace/chilies_uvsub_dir12-2025-10-01T07-43-00.950Z/2025-10-01T07_42_58_342_0-0-17/87ce51830d9a0193.ms.tar,/home/00103780/dlg/MeasurementSets/build_concat_all/88a65251c002bffe.ms,/home/00103780/dlg/MeasurementSets/tclean_all/3a0066191619bd13.ms,,
/home/00103780/dlg/MeasurementSets/Split/03814b51926cea29.ms.tar,13B-266.sb34131298.eb34685710.58070.41796880787_calibrated_deepfield.ms,2017-2018,980,984,4,0.036,/home/00103780/dlg/workspace/chilies_uvsub_dir12-2025-10-01T07-43-00.950Z/2025-10-01T07_42_58_343_0-0-18/03814b51926cea29.ms.tar,/home/00103780/dlg/MeasurementSets/build_concat_all/6847152a8e4b6f46.ms,/home/00103780/dlg/MeasurementSets/tclean_all/8ce39cedcd754180.ms,,
/home/00103780/dlg/MeasurementSets/Split/df429101d978700c.ms.tar,13B-266.sb27243380.eb28499779.56605.3831562037_calibrated_deepfield.ms,2013-2014,964,968,4,0.047,/home/00103780/dlg/workspace/chilies_uvsub_dir12-2025-10-01T07-43-00.950Z/2025-10-01T07_42_58_344_0-0-19/df429101d978700c.ms.tar,/home/00103780/dlg/MeasurementSets/build_concat_all/88a65251c002bffe.ms,/home/00103780/dlg/MeasurementSets/tclean_all/3a0066191619bd13.ms,,/home/00103780/dlg/MeasurementSets/tclean_epoch/430728b13cf2a5a7.ms
/home/00103780/dlg/MeasurementSets/Split/1672b939f4285047.ms.tar,13B-266.sb30134968.eb30452820.57078.09859436343_calibrated_deepfield.ms,2015,972,976,4,0.042,,/home/00103780/dlg/MeasurementSets/build_concat_all/764f907ac44ccc75.ms,/home/00103780/dlg/MeasurementSets/tclean_all/ca3bffa2dd9e2bbf.ms,,
/home/00103780/dlg/MeasurementSets/Split/0a31495c675a537b.ms.tar,13B-266.sb36219649.eb36460449.58549.13729381944_calibrated_deepfield.ms,2019,968,972,4,0.045,,/home/00103780/dlg/MeasurementSets/build_concat_all/0fe8b5ed1c983794.ms,/home/00103780/dlg/MeasurementSets/tclean_all/cbae39a5c73ddfc7.ms,,
/home/00103780/dlg/MeasurementSets/Split/764a9888b687a8c5.ms.tar,13B-266.sb32006038.eb32097169.57524.93682481481_calibrated_deepfield.ms,2016,968,972,4,0.048,,/home/00103780/dlg/MeasurementSets/build_concat_all/0fe8b5ed1c983794.ms,/home/00103780/dlg/MeasurementSets/tclean_all/cbae39a5c73ddfc7.ms,,
/home/00103780/dlg/MeasurementSets/Split/81c56a25098fe4b6.ms.tar,13B-266.sb27243380.eb28499779.56605.3831562037_calibrated_deepfield.ms,2013-2014,968,972,4,0.047,,/home/00103780/dlg/MeasurementSets/build_concat_all/0fe8b5ed1c983794.ms,/home/00103780/dlg/MeasurementSets/tclean_all/cbae39a5c73ddfc7.ms,,/home/00103780/dlg/MeasurementSets/tclean_epoch/5a318b4f54f3b0c3.ms
/home/00103780/dlg/MeasurementSets/Split/afc9074a2492af7f.ms.tar,13B-266.sb30134968.eb30452820.57078.09859436343_calibrated_deepfield.ms,2015,976,980,4,0.042,,/home/00103780/dlg/MeasurementSets/build_concat_all/ee325cbe579fdbfc.ms,/home/00103780/dlg/MeasurementSets/tclean_all/fdc43225b6dbc5f5.ms,,
/home/00103780/dlg/MeasurementSets/Split/995457fe9cbd1b17.ms.tar,13B-266.sb36219649.eb36460449.58549.13729381944_calibrated_deepfield.ms,2019,972,976,4,0.045,,/home/00103780/dlg/MeasurementSets/build_concat_all/764f907ac44ccc75.ms,/home/00103780/dlg/MeasurementSets/tclean_all/ca3bffa2dd9e2bbf.ms,,
/home/00103780/dlg/MeasurementSets/Split/c130844ea67e4510.ms.tar,13B-266.sb27243380.eb28499779.56605.3831562037_calibrated_deepfield.ms,2013-2014,972,976,4,0.047,,/home/00103780/dlg/MeasurementSets/build_concat_all/764f907ac44ccc75.ms,/home/00103780/dlg/MeasurementSets/tclean_all/ca3bffa2dd9e2bbf.ms,,/home/00103780/dlg/MeasurementSets/tclean_epoch/f230a240a9bbd772.ms
/home/00103780/dlg/MeasurementSets/Split/f76edb25ffb371a0.ms.tar,13B-266.sb32006038.eb32097169.57524.93682481481_calibrated_deepfield.ms,2016,972,976,4,0.048,,/home/00103780/dlg/MeasurementSets/build_concat_all/764f907ac44ccc75.ms,/home/00103780/dlg/MeasurementSets/tclean_all/ca3bffa2dd9e2bbf.ms,,
/home/00103780/dlg/MeasurementSets/Split/cceed4dccbda3012.ms.tar,13B-266.sb30134968.eb30452820.57078.09859436343_calibrated_deepfield.ms,2015,980,984,4,0.042,,/home/00103780/dlg/MeasurementSets/build_concat_all/6847152a8e4b6f46.ms,/home/00103780/dlg/MeasurementSets/tclean_all/8ce39cedcd754180.ms,,
/home/00103780/dlg/MeasurementSets/Split/99f2da777b39c54d.ms.tar,13B-266.sb27243380.eb28499779.56605.3831562037_calibrated_deepfield.ms,2013-2014,976,980,4,0.047,,/home/00103780/dlg/MeasurementSets/build_concat_all/ee325cbe579fdbfc.ms,/home/00103780/dlg/MeasurementSets/tclean_all/fdc43225b6dbc5f5.ms,,/home/00103780/dlg/MeasurementSets/tclean_epoch/0ab69fb95005e6df.ms
